НОВАЯ ПРОГРАММА,Урок на ютуб,Доп материалы к урокам,Домашнее задание
Урок 10.  Часті страхи при запусках,https://www.youtube.com/watch?v=_3yCceX8fzU,,
Форма для запитань до 1 модуля,,,
Модуль 2.  Вибір ідеального експерта для запуску,,,
Урок 1. Особистий бренд продюсера,https://youtu.be/OQAQTU6ndWQ?si=GcPZlHdIK4QXAFqT,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/i4WqBvnHUAChXsfFryNiIJW1PDpcwDm9VJgPGEUj.pdf

Таблиця розпакування продюсера
https://docs.google.com/spreadsheets/d/1gP3egJ0HNt3jIyMSYhb5iWgJaMWQ44ZS/edit?gid=446129605#gid=446129605","Завдання
1.Заповнити розпакування
2.Написати самопрезентацію і відправити в чат"
Урок 2. Упакування продюсера,https://youtu.be/6auTKOp6_rU?si=HG9T5_ahiK_teh_G,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/1J82JyG3MHGQ2otinlhH0FckerpsXzmH9PlDmPkR.pdf

Контент-план продюсера
https://docs.google.com/spreadsheets/d/1AxPmN1TPGL5Tk6nPBx3-Xyi-NUD8wR-5/edit?gid=2000072601#gid=2000072601","Завдання
Надіслати скрін своєї сторінки до/після своєму куратору"
Урок 3. Критерії вибору експерта на запуск,https://youtu.be/wD67Wbo6L9E?si=MX9KVdqvx8QVcZyr,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/X0UAuD3BuNzjIiKNHIMoO8iwNft1qOVWhCLP298U.pdf

Шпаргалка ""Як зрозуміти,що експерта можна запускати?""
https://api.creo.ua/system-files/lessons/documents/0Ac5XDORChD3xGB7WXWePx1JeB1K2iZupiVQ1wI1.pdf","Завдання
Напишіть основні критерії, які повинен мати експерт"
Урок 4. Як поділити доходи продюсера та експерта,https://youtu.be/bkq2zbFNlt4?si=nE59x35BsfdGS7lo,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/QoCCwCcGviPYS471Hk2K7u7FbefxImy54p1jkIBY.pdf",
Урок 5. 25 ефективних способів знайти експерта,https://youtu.be/eUjBmZeL82o?si=ww8sH6ycvt3hdSf5,"💻 Приклад поста про вступ:
Можете мене привітати!
Я вступила на першу у світі Академію Запусків і продажів. Моє найдорожче навчання. Тепер я студентка академії E-LAUNCH, яку створив Дмитро Шевчук @dimashevchuk 🎓

Мої думки з цього приводу:
1. Це саме по собі розширення. Рада, що я стала такою людиною, яка здатна вкладати в себе такі суми.
2. Я купила не інформацію, не знання, не матеріали. Я купила спільноту, енергію, досвід, стан.
3. Якщо я дозволила собі купити за 1,5 тис. $, то можу дозволити і продавати/заробляти дорожче, більше, голосніше. Я розширила свій грошовий коридор.
4. Якщо я хочу заробляти більше, але саму жаба душить купити щось дороге, то я намагаюся обдурити устрій світу. Його неможливо обдурити.
5. У моєму житті настає новий етап. Це нова реальність. Абсолютно новий рівень оточення і масштабу.
6. Я готова
7. Я собою пишаюся
8. Мені можна все!

---------
 
Дорогі підписники, на ваших очах буде творитися ця історія.

Емоції: спокій, готовність, легкий азарт.
Очікування: максимум задоволення від навчання, роботи і життя!
Ну що ж, киньте в коментарі заряду підтримки, щоб я знала, що ми на зв'язку пройдемо цей шлях разом🔥

💻 Приклад поста про пошук клієнта:
 
🚨 Шукаю партнера! ТЕРМІНОВО!

Тепер, коли ваша увага захоплена, варто уточнити ☝️😁 
Прямо зараз я проходжу навчання з продюсування запусків, прогрівів і продажів в онлайн-академії E-LAUNCH.
Це означає, що у мене є унікальна система кратного збільшення прибутку будь-якого бізнесу і будь-якого експерта через соц.мережі 💸
Уже в процесі навчання і практики під керівництвом свого ректора і найкращих продюсерів-кураторів я готова зробити перший запуск!
І тому шукаю ПАРТНЕРА-ЕКСПЕРТА для співпраці!
Якщо ви експерт у чому-небудь, надаєте послуги, консультуєте, навчаєте, продаєте товари, ведете бізнес і хочете найближчим часом збільшити потік клієнтів і прибутку, то
у вас є можливість отримати від мене безкоштовну консультацію з покроковим планом збільшення продажів КОНКРЕТНО ДЛЯ ВАС!🔥

Одного експерта я готова взяти на продюсування і зробити повноцінний запуск від А до Я:
✔️повний аналіз всіх даних
✔️стратегія продукту і воронка продажів
✔️прогріви і організація всіх процесів
 
Як результат гарантую зростання прибутку, клієнтів і лояльності вашої аудиторії💯
Ваші заявки та будь-які запитання пишіть у Дірект або коментарі!

Прошу ділитися цим постом із друзями та знайомими! Можливо серед них є ті, хто потребує грамотного маркетингу.

Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/K0UpOVBrn63dUSPsIy640V5QEFiCHRNOoQGaR5YD.pdf

Шпаргалка ""Питання-помічник для сторітелінгу""
https://api.creo.ua/system-files/lessons/documents/CW8ohKDkJMmFcqPfkI2sbpEujZRrdg3ntOQXyVxU.pdf","Завдання
1. Зробіть анонс у своєму інстаграмі про те, що ви пішли на навчання з продюсування і шукайте собі експерта на запуск. І неважливо, скільки у вас підписників і яка сторінка. 

Можете використовувати питання помічники з додаткових матеріалів, а також приклади постів вище. 
 
2. Попросіть ваших 3-х знайомих розповісти про вас у себе в сторіс. Обов'язково дайте їм тези для цього

3. Обрати 2-3 способи, якими ви будете шукати експерта"
Урок 6. Написання листа експерту,https://youtu.be/OW6SWDlvJvg?si=t_I0mi4S6HfF3zr-,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/UJ8YklhgzXrTtECaox64u5QK1KVQrO7Nh6iixcqd.pdf

Розбір повідомлень: погані та добрі приклади
https://api.creo.ua/system-files/lessons/documents/C0HPezhPNXRRASA68SVV1xenv5X92WyrYkzumk4b.pdf","Завдання
Надіслати пропозицію про запуск 10-30 експертам дотримуючись усіх правил з уроку"
"Урок 7. Як переконати експерта співпрацювати, навіть якщо ви новачок",https://youtu.be/r2h6n7UdQwc?si=Lc9-k1HGxKjq78dG,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/kUKAteE0tdnawmH0eCJaA09qtZhdi9pYghiRtls9.pdf",
Урок 8. Як закривати на співпрацю,https://youtu.be/qLGlf1oKFrE?si=pzuW__5uVsYCrSEp,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/kUKAteE0tdnawmH0eCJaA09qtZhdi9pYghiRtls9.pdf

Питання для брифу експерта
https://api.creo.ua/system-files/lessons/documents/hBagcfsdo33GqDuEG9V2q0JGOueCBb60THIgo1MD.pdf",
Урок 9. Спільна робота продюсера та експерта,https://youtu.be/GpJ03_AQ5RM?si=wBCrpM9eYP_3sSlj,"Договір на співпрацю (укр):
https://docs.google.com/document/d/16VrsSywCVwGi0QFpwC2jPxua_YOcfLWm/edit

Договір на співпрацю (рос):
https://docs.google.com/document/d/1EN6nXrYXXvMPHjJSDhBLC5jJ-64bXWeZ/edit?usp=sharing&ouid=100098198954978073195&rtpof=true&sd=true

Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/jW9QLiOG4xbctBCEITY8vstCm4dkxeNkJlTVEaGC.pdf",
"Модуль 3. Продукт, що сам себе продає",,,
Урок 1. Розпакування особистості та експертності,https://youtu.be/NACGSnbgTEo?si=sRT0voohjfgbI51E,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/qpTf9dTfArVsbfq600691TbbAApVpgfFi4OtAKZU.pdf


🎁 Таблиця розпакування 
- українська версія 
https://docs.google.com/spreadsheets/d/1K3jKQF1tVAQv7Gr6bfhrW0mwfYrgcEcwgeR17A4AjJA/edit?usp=sharing
- російська версияhttps://docs.google.com/spreadsheets/d/1AxfDvquKP0S1m90TKkR2kUzpcM-ZNN0TlwTcH8p70JE/edit?usp=sharing
- англійська версія https://docs.google.com/spreadsheets/d/1N9g95KR_ZMuD5w4zRpYX4iBQQp8KXFQB81h1X-7Jrm8/edit?usp=sharing
- для комерційного бренду https://docs.google.com/spreadsheets/d/1Y-FXw8wxph20DOJJU39ft3-99zVATIk7pXVL5xrSzWU/edit?usp=sharing","Завдання
Зробити розпакування зі своїм експертом або своє і надіслати посилання на розпакування куратору"
Урок 2. Як заробити на розпакуванні,https://youtu.be/4umx5Zs1xuQ?si=0FG7AGIreKbzyWRN,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/TdvqmvHfwl0FEDRyGA2zYAc7vjecj4hv4VxgTv9X.pdf","Завдання
Заробити гроші. Продати послугу розпакування серед своїх знайомих/колег за ту ціну, яку ви самі оцінюєте. Написати про результат куратору"
Урок 3. Аналіз цільової аудиторії,"https://youtu.be/TNuEMtfp8iU?si=OM6Pvq8upFfsfiJT
https://youtu.be/2zKzRKff5io?si=tdfL38g_CRAk8Ja8
https://youtu.be/PTX6pqbWalw?si=DjsngBWh1BVFQn2v
https://youtu.be/Egc46cSzlnE?si=EhXQQEq9LQfb-lPR","Презентація до уроку:
https://drive.google.com/file/d/1pr3Lwx4hQAkyktcmA8ZIiMyUsqZMC-39/view?usp=sharing

Презентація до уроку:
https://drive.google.com/file/d/1DV0lrF8nBF-OZxjwwq_ldEdyS0XMZUPL/view?usp=sharing

Презентація до уроку:
https://drive.google.com/file/d/12B_iLRJtAxlnIG5q17mJCeZcqYvfpDj-/view?usp=sharing

Приклади анкети:
Тарас https://docs.google.com/forms/d/e/1FAIpQLSe53p2EGC5MapQDx9eDru4nu8TbrF_rXA2zIh-B2m6CIZy4iA/viewform
Моніка https://docs.google.com/forms/d/e/1FAIpQLSfV4VU9DO9n4xrlozo8veV2oZGrFdI_bKe-FHxqsg0zfF-liA/viewform
  Приклад підводки до анкети https://drive.google.com/drive/folders/1t7gVje1wy2Oa3NOpqX69CJMdFj0Z9Jss","Завдання
Провести аналіз цільової аудиторії"
Урок 4. Типи продуктів,https://youtu.be/IPOxAw3jISE?si=ItQBZ2LrPrk0Fb0O,"Презентація до уроку:
https://drive.google.com/file/d/1K2GbnMJluZpcibAZLJvcvQLlLMpdEa2U/view?usp=sharing

Презентація до уроку:
https://drive.google.com/file/d/10w-DshqpoLZuOqp--JwdL3v2kLT5a99k/view?usp=sharing","Завдання
Придумати короткостроковий продукт для прибутку тут і зараз"
Урок 5. Створення продукту,https://youtu.be/ra56AKam6lQ?si=N1HxzPyCkH_fsEqZ,"Презентація до уроку:
https://drive.google.com/file/d/1lKPFHWG8ZeUNSBQtibu9SZ56GYmqYvwV/view?usp=sharing",
Урок 6. Аналіз конкурентів,https://youtu.be/yF8Tkd07Yzk?si=WFexfzfpsdYuWqB9,"Презентація до уроку: https://drive.google.com/file/d/1kwGFlXFz3TR17GlS_0J-tac3Bb9-ov4p/view?usp=sharing

Таблиця-шаблон для аналізу конкурентів: https://docs.google.com/spreadsheets/d/1JNOzZayiw3u0nWSATRNGI7of222gUyEWAAUZbXma1-g/edit?usp=sharing","Завдання
Зробити аналіз своїх 3-4 конкурентів"
Урок 7. Оффер. Велика обіцянка,https://youtu.be/Ov-TWJATqGU?si=smTPU4gkYHd4xSVq,"Презентація до уроку:
https://drive.google.com/file/d/10FCYvNH7JTXw3wVEtSis7AXojnGTd08r/view?usp=sharing","Завдання
1. Згадуємо портрети нашої ЦА
2. Прописуємо 2-3 варіанти офферу
3. Прописуємо 5 пунктів ""результати за підсумком"""
Урок 6. З чого складається продукт. Формат і компоненти,https://youtu.be/OiugSZWMzuQ?si=t-Qc2QrwYflv89ap,"Презентація до уроку:
https://drive.google.com/file/d/1O_-FPsK36s9Z5_YJYxiMIepFkyQT5TsQ/view?usp=sharing

Підказка ""Вибір формату продукту під нішу""
https://docs.google.com/spreadsheets/d/1bd3nwJ3W3vhXZBjtihlxJuW-2cCloZDX/edit?gid=1286942914#gid=1286942914
","Завдання
1.  Зібрати фінальний формат і наповнення продукту
2.  Зібратися з учнями в майстермайнд і по колу обговорити формат продукту і наповнення"
"Урок 7. Програма навчання. Як зробити так, щоб усі захоплювалися програмою",https://youtu.be/ylSEnRT9JzQ?si=7UAnS1LDkTZBsSBp,"Презентація до уроку: https://drive.google.com/file/d/1h5fUP8v1L8Mhvk9GkOgEervi2Q5F2CYr/view?usp=sharing
Схема створення продукту: https://app.xmind.com/share/IsVlmvYd
Завантажити майнд-карту картинкам: https://drive.google.com/file/d/11EVVF6J5Zs3tXvRMStymaqk7K481KBOA/view?usp=sharing
Чек-лист ""40 ідей для продаючої програми"": https://drive.google.com/file/d/1N1nRSnHG4HzSTn4gRluDfU9lJj09lyfe/view?usp=sharing",
Урок 8. Стратегії ціноутворення та тарифів,https://youtu.be/O0QwKGoXf90?si=u0VQUpM5htuhap_9,Презентація до уроку: https://drive.google.com/file/d/1peZ5i6sYf_m1TpLXtpj1ACEnWUzzEPOB/view?usp=sharing,
Урок 9. 5 способів розговорити підписників,https://youtu.be/sByvZ_zS3EI?si=FaHm_dPpf9Q2nuRr,Презентація до уроку: https://drive.google.com/file/d/1oLF1Xrr8n94QdoJMYGJKkdPws_vfG0D9/view?usp=sharing,
Модуль 4. Грошовий блог,,,
Урок 1. Активи експерта та майданчики для запуску,https://youtu.be/7foDJsphv20?si=98MfdKVcuxqmvbXH,"Презентація до уроку 
https://api.creo.ua/system-files/lessons/documents/3RGcH34KReWtf1YaeQELWPRoBCwyOuHM2FlQEtA9.pdf","Завдання

Заповнити таблицю розпакування активів https://docs.google.com/spreadsheets/d/12dPy245I7CO7lNY15q5R4Pup_LurTOk9Q3wTtiAzHfQ/edit?usp=sharing

Приклад заповненої таблиці розпакування активів нижче:"
Урок 2. Як перестати хвилюватися і легко вести блог,https://youtu.be/9m6KgWPgQQM?si=WXqF9te895XX8AKQ,"Презентація до уроку:
https://api.creo.ua/system-files/lessons/documents/eo0xkYMcK2RJmaCG823OcQohC8OD1Ry0G1pSVLVC.pdf",
Урок 3. Складові позиціонування лідера,https://youtu.be/K0iUmQcDvGQ?si=Gv7TM1isA0b7Pmmt,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/QaSDxFOR2wQOfbhbADCcq1QlERK9ZyA541YiaJKy.pdf",
Урок 6. Упаковка успішного блогу,https://youtu.be/6ADInrQQEXE?si=ZdP6gvjECf9bpofI,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/HwYKdjWDRJJOl9z2dA428ZsvUNxcxGJhiymFTCl9.pdf","Завдання
Привести свою/експерта сторінку до ладу за правилами з уроку"
Урок 7. Як сформувати довіру підписників,https://youtu.be/iTFHzwdez6U?si=XTUMif3FW3fVs4vb,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/IdveyOSkuPptTInXMEV97uj3aVfIH2ES6VOhP0I8.pdf",
Урок 8. Складаємо карту свого блогу за смислами і темами,https://youtu.be/Wv5jgLcNPjY?si=NhnKcnQek2UgIqIN,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/GKv6xvcuG4l3MtgJ3cvLrN5do18JWoQdNJSp7cnR.pdf","Завдання
Скласти карту свого блогу/експерта. 
Таблиця для заповнення https://docs.google.com/spreadsheets/d/1L55Fo33JEhh-PwWY-GHWbhiqgj9N25VDnUVMRRN8eQE/edit?usp=sharing  . Зробіть копію і користуйтеся для свого запуску або експерта. "
Урок 9. Сюжетні лінії та сторітелінг,https://youtu.be/KX4OJdiVQas?si=-qqNbaHnigMiC0zW,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/PxVM7NSmiEMWXuQ949RwGS8Hav05D7oYbILMoeX2.pdf

Гайд 7 кроків до крутого блогу
https://drive.google.com/file/d/1Y_8eQOdxpaaBPNI04K7Eha71bEzV8YOC/view?usp=sharing",
Урок 10. Правила роботи з контентом і охопленнями,https://youtu.be/SkpouD236nw?si=_znjvFM6AvyrqQTt,"Презентація до уроку
https://drive.google.com/file/d/1r-BJ1DWedqzut8-8cvCvlPNeEiCF2TZI/view?usp=sharing",
,,,
Модуль 5. Прогрів. Мистецтво продажів. ,,,
Урок 1. 10 правил ідеального прогріву,https://youtu.be/Ejqaak2ins0?si=LYDudyIC_CpaVdD3,Презентація до уроку: https://api.creo.ua/system-files/lessons/documents/EQ3iDVRtoJADMtpUcnEdXPRGLcoalCcqcO1grU2c.pdf,
Урок 2. Як впливати на аудиторію,https://youtu.be/HIyn837U6Ag?si=OlPBlCkKiVVQcfK0,Презентація до уроку: https://api.creo.ua/system-files/lessons/documents/yiTpvmG0XMxTZgThFY4qRxW2jqQw3pL14s1yOyKX.pdf,
Урок 3. Етапи прогрівів,https://youtu.be/f3xUPfkncXY?si=x6edU-8vPdDY0bsh,Презентація до уроку:,
Урок 4. Цикл угоди. Вибір воронки,https://youtu.be/GW-SRzPMr-o?si=TSnFAOn8ANuYyliD,Презентація до уроку:,
Урок 5. Структура і моделі прогріву,https://youtu.be/5aoFcDEwO3Y?si=9YXCVX4WmyS4sjaf,Презентація до уроку:,
Урок 6. Прогрів через сенси,https://youtu.be/rDco3QhHa64?si=9KLc9BAwvH8wVizO,"Презентація до уроку: https://api.creo.ua/system-files/lessons/documents/QzCE3qsdoAu7QiQ0hPjZ3KBwXusbV2OabQgC0GE6.pdf
Гайд Готові сценарії для цінностей: https://drive.google.com/file/d/115QU-hrmxtB4K7PIwzS6Y3HGtRANzBFI/view
Майнд карта - Ідеї по сенсам https://drive.google.com/file/d/115QU-hrmxtB4K7PIwzS6Y3HGtRANzBFI/view",
Урок 7. Інфоприводи і сторітеллінг,https://youtu.be/xJ5fhlJKbp8?si=lFPdPBbY4THt5FXA,Презентація до уроку:,
Урок 8. М'яка демонстрація експертності,https://youtu.be/9x0C3wFvT2Q?si=776rBl3-rJgSktvN,"Презентація до уроку: https://api.creo.ua/system-files/lessons/documents/rXhScQ7uuw0FcEkv1gu13EOkl2IACnXfnrTK1iTv.pdf
Таблиця ""Види експертного контенту"": https://docs.google.com/spreadsheets/d/1vJMMJHN-0PhP9401tyL_KB4N8EE-pmAL/edit?usp=sharing&ouid=100098198954978073195&rtpof=true&sd=true
Таблиця ""Приклади метаповідомлень в різних нішах"": https://docs.google.com/spreadsheets/d/1Qz9jzOT7_QMop2r5zyQ9tgkPMXpPkkhj/edit?usp=sharing&ouid=100098198954978073195&rtpof=true&sd=true",
Урок 9. Алгоритм написання прогріву,https://youtu.be/XEsVbkFRukc?si=bv6-B3byvddA1uGi,"Презентація до уроку: https://api.creo.ua/system-files/lessons/documents/SztXdSpvcZZDzCW0urEzCFjLkFbtjB7yWSbd0ySm.pdf

Таблиця для планування прогріву та контенту https://docs.google.com/spreadsheets/d/1-YXvrvegigLWQ1RHOxz_f0xor64HTXLME7rXZ7KVaJ4/edit?usp=sharing
Приклад контент-плану прогріву (зверніть увагу на оформлення)
 
📎 1 приклад:

1. Фото
+ скрін (написати)
Привіт Тарас) як навчитися продавати так само легко і невимушено як ти?))) Коли у мене запитують про ціну, я впадаю в транс😅

Хочете я зараз зроблю продаж всього за 3 тези?
Ви зможете подивитися і зрозуміти ЯК це працює
але з вас - зворотний зв'язок
Кнопка 👌
2. Фото
1
У вас є такі знайомі, які дуже розумні, талановиті, багато працюють, але ГРОШЕЙ У НИХ МАЛО?
Голосування
Так, є такі🤔
Немає таких
Так, це здається я😥

3. Розмовна
2
У мене є МЕТОДИКА, дотримуючись якої люди можуть за 2 тижні перетворити будь-які свої НАВИЧКИ І ЗНАННЯ НА ГРОШІ через соцмережі, і це не вимагає абсолютно ніяких вкладень.
Це КОНКРЕТНІ ДІЇ, які просто необхідно крок за кроком виконувати і вони починають давати РЕЗУЛЬТАТИ В ГРОШАХ

4. Фото
3
Це була коротка презентація моєї Школи Заробітку 3.0, яка стартує вже післязавтра
забрати останні 4 місця можна тільки через ВІДБІР за цією анкетою👇
+ посилання
(у вас 1 день щоб потрапити)
5. Розмовна
Ну ось і все! У людей є проблема, у вас є класне рішення, яке дає бажаний результат. І ви просто про це розповідаєте світу! А соцмережі це найпростіший і безкоштовний спосіб як це можна зробити. І якщо ви все робите правильно, то люди щасливі знайти вас і купити рішення своєї проблеми.
І потім у вас черга, як у моїй анкеті для відбору - 30 осіб на 1 місце
Коротше, приходьте до Школи - я вас усього навчу. Навіть якщо вам 40-50+ років, ви думаєте, що вам нічого запропонувати людям, або ви взагалі не хочете світитися в соцмережах
+ скрін з анкети
📎 2 приклад:

1. Фото

+ скрін (написати)
Тарасе, я тебе обожнюю!
Твої сторіси і рілси для мене справжній приклад - вчуся так само відкрито і вільно поводитися на камеру😍🤗🤗
Думаєте, я завжди був таким?
Зараз покажу з чого я починав👉
 
2. Відео архівної сторіс (нібито невдале)

Підпис
Виглядали вони так👆
❌️я соромився
❌️не знав про що говорити і що знімати
❌️много працював, але не знав як це цікаво показати
 
3. Відео архівне (сторіс або рілс)
Змінився за 2 роки?
Голосування
Так!
Ні
 
4.фон
+ скрін з директу як відповідь на 3ю сторіс (щоб було видно саму сторіс і відповідь)
О, це прям як я зараз😂
Підпис
Кому ще знайоме?
Кнопка 🙋‍♀️

5. Фото
Шок- факт
Навіть тоді - на самому початку шляху (коли в мене не було навіть 10 тисяч підписників), я вже заробляв на блозі 1000+ $ на місяць
6. Розмовна
Що я хочу донести вам: навіть на неідеальному маленькому блозі можна легко заробляти!
Головне ВЕСТИ його!
А якщо навчитися вести його круто, робити цікаві сторіс і рілси, набирати аудиторію легко і безкоштовно, то вам відкриті сотні можливостей!

7. Відео як фонове або фото
Одного разу почавши шлях блогера, тепер це моє життя:

- сторіс, рілси, тіктоки - улюблена робота
- 2,1 млн аудиторії
- сотні рекламних інтеграцій
- зв'язки та оточення
- повна фінансова стабільність
- 3 потоки навчання із заробітку
- визнання та реалізація
8. Фон
+ скріни відгуки
І я дуже радий, що допомагаю почати цей шлях і іншим ❤

9. Фото
+ скріни уроків 5 і 6 модуля
*це всього лише 10% програми
Весь мій досвід у моїй Школі - даю абсолютно всі інструменти!
 
10. Фото
+ Скрін (написати)
Зараз можна потрапити до вас на навчання?

Підпис
...але щоб їх отримати доводиться чекати
🤷‍♂️поки не вирішив чи буду робити цього року ще один потік",
Урок 10. Психологічні тригери продажів,https://youtu.be/82XqP0M1IjU?si=DrF6el5t1Ss9nVPb,"Презентація до уроку: https://api.creo.ua/system-files/lessons/documents/45OAzHeNKXftC07XZxB0tul6VG6Gwf62jaOGdB8v.pdf

Чек-лист ""Ажіотаж та обмеженність"": https://api.creo.ua/system-files/lessons/documents/Cmv9GNxjIGVNTlVt4ZQqf0jZMf18HNx0Ip14wc2Y.pdf",
Урок 11. Прогрів через реаліті/персонажа,https://youtu.be/mjyDnRWxfyw?si=1RbRbq3s-kejLM2_,"Презентація до уроку: https://api.creo.ua/system-files/lessons/documents/7BYcMJJkGfl4hhYWYDCoXrK3pqA0IT6FnAn0o5E7.pdf


Гайд ""ПОКРОКОВИЙ ПЛАН ПРОГРІВУ З ПЕРСОНАЖЕМ"": https://api.creo.ua/system-files/lessons/documents/88iYOPPVbK8XKN38dsGFTg5P3G0vm0x8GCQOEZdv.pdf",
"Урок 12. Продажі з півслова, закриття заперечень",https://youtu.be/Hxoj-yNpNzs?si=fg_hDsEEuAmBZRrd,Презентація до уроку: https://api.creo.ua/system-files/lessons/documents/OxBpnBfVbP3iovREJyGSNguSIA1ieKmp6UebrcYq.pdf,
Урок 13. Конструктор прогрівів,https://youtu.be/OOYPJpLN52k?si=RjwoD_akwdl_tYPf,"Гайд ""ПОКРОКОВА СХЕМА ПРОГРІВУ НА 7, 14 І 31 ДЕНЬ"" https://api.creo.ua/system-files/lessons/documents/Zk36CgQLkFnWtMNNQjXkIsF38VUOMUcZOkZTtCvL.pdf
Конструктор прогріву https://lowly-pisces-d3d.notion.site/57725a071e804d58a1796803d26aa09e?v=03d66ed3a9e34e68846114abfc0f26d7
Таблиця ""Схема прогріву на 21 день"": https://docs.google.com/spreadsheets/d/1nlsF6pZNutfZxviVDgPGS8oXkAo28Pu5/edit?usp=sharing&ouid=100098198954978073195&rtpof=true&sd=true",
